Feature,Feature2,Peak.Duration,Vehicle.Speed..mph.,Peak.Z.Accel,Peak.Lat.Accel,Peak.Long.Accel,Front.Slip,Right.Slip,Left.Slip,Direction,MLT1.Feature,MLT2.Feature,File,Date,,,,,,,,,,,,
B1,P1,0.544,11.9314824742537,1.32738591505582,1.17738025326875,0.491031881656659,0.438542969489468,0.111242310148588,0.346924180232007,Left3,Type1,N/A,Cal_EL1000Avg_1014,20180709,,,,,,,,,,,,
B1,P1,0.534,12.4533137640609,1.3351124622191,1.12898297797829,0.849534051622833,0.532727614775491,0.102540326168485,0.453976510069073,Left1,Type1,N/A,Cal_EL1000Avg_1014,20180709,,,,,,,,,,,,
B1,P1,0.47,14.4340750327923,1.38397943533011,1.43892216593828,1.20372016243052,0.706099182475107,0.121601952736804,0.625389587558414,Left1,Type1,N/A,Cal_EL1000Avg_1014,20180709,,,,,,,,,,,,
B1,P1,0.464,14.9709584339377,1.3170554950627,1.03127748652824,0.950893778131414,0.745867136873738,0.141057999565175,0.727535636150305,Left1,Type1,N/A,Cal_EL1000Avg_1519,20180709,,,,,,,,,,,,
B1,P1,0.416,16.1138834529175,1.32573896752569,1.19565679135723,1.14122291972122,0.562977236478959,0.121529507230011,0.392625798878185,Left3,Type1,N/A,Cal_EL1000Avg_1519,20180709,,,,,,,,,,,,
B1,P1,0.184,24.4775105424383,1.63938944982562,0.496308742252704,0.157951892105795,0.3131938625284,0.107120949697303,0.462527044585201,Left3,Hump,Crest,Cal_EL1000Avg_2024,20180709,,,,,,,,,,,,
B1,P1,0.16,33.0093784196154,1.57864924608967,0.33902396701959,0.738900067221359,0.721372871810079,0.0942607496910567,0.674071685327456,Left3,Type1,N/A,Cal_EL1000Avg_3034,20180709,,,,,,,,,,,,
B1,P1,0.132,33.6711621719802,1.80331670094277,0.301220777549196,1.02782065770056,0.746042521822202,0.170750507580821,0.774008118202498,Left1,Type1,N/A,Cal_EL1000Avg_3034,20180709,,,,,,,,,,,,
B1,P1,0.128,36.4344993740411,1.65989423143734,1.74014900740439,0.707796809389251,0.690230274761915,0.0711264821161042,0.779811670312251,Left3,Type1,N/A,Cal_EL1000Avg_3034,20180709,,,,,,,,,,,,
B1,P1,0.119,36.7359520079291,1.78581123051669,1.32251008577306,0.408011508328148,0.533144980251763,0.134302127499086,0.74402220688836,Left3,Type1,N/A,Cal_EL1000Avg_3539,20180709,,,,,,,,,,,,
B1,P1,0.125,35.3948731305408,1.72565765766487,0.329264825319529,1.04266498730406,0.66924374512272,0.10468888424923,0.696514424058842,Left3,Type1,N/A,Cal_EL1000Avg_3539,20180709,,,,,,,,,,,,
B1,P1,0.125,38.2040681935764,1.99092258996158,0.33178480402194,0.700615259279701,0.6665695944197,0.0984848736258165,0.776718267414006,Left3,Type1,N/A,Cal_EL1000Avg_3539,20180709,,,,,,,,,,,,
B1,P1,0.117,37.5328020641102,1.91762039321228,0.546070187163158,0.927735896300356,0.62818534793788,0.0725432717931175,0.661272284438279,Left3,Type1,N/A,Cal_EL1000Avg_3539,20180709,,,,,,,,,,,,
B1,P1,0.124,38.5516740570755,1.94623598679895,1.29824223093341,0.363721354150157,0.995434290566728,0.156196561360561,0.847103469093669,Left1,Type1,N/A,Cal_EL1000Avg_3539,20180709,,,,,,,,,,,,
B1,P1,0.127,39.0646441651119,2.02222948839467,1.46120362526897,0.568501088577618,0.77999327409623,0.0911176131350331,0.6852728216756,Left3,Type1,N/A,Cal_EL1000Avg_4044,20180709,,,,,,,,,,,,
B1,P1,0.104,40.2583466995591,2.14007650847305,1.65810859253404,0.445585806489084,0.669770660296833,0.0810350449951256,0.813637719003936,Left3,Type1,N/A,Cal_EL1000Avg_4044,20180709,,,,,,,,,,,,
B1,P1,0.207,45.4882526088986,2.40089983912582,1.62714279238659,2.35473156594405,0.749540367533146,0.155782129216629,1.34240412098245,Left1,Type1,N/A,Cal_EL1000Avg_4044,20180709,,,,,,,,,,,,
B1,P1,0.181,44.6373711618668,2.3664710372261,1.78320311264927,1.83910901063459,0.819757981434899,0.154023340046286,1.14202054050345,Left1,Type1,N/A,Cal_EL1000Avg_4044,20180709,,,,,,,,,,,,
